epoch,trainLoss,lr,validLoss,werScore
0,197.79173,0.000100,29.51581,79.12
1,163.39084,0.000100,29.00170,82.25
2,158.61297,0.000100,28.36083,76.95
3,153.99523,0.000100,27.82167,76.16
4,148.43543,0.000100,26.92448,73.23
5,142.11030,0.000100,25.69140,70.24
6,135.31522,0.000100,24.90771,68.78
7,128.75770,0.000100,23.46664,67.78
8,122.96447,0.000100,22.89125,66.00
9,117.54357,0.000100,21.89412,62.69
10,112.49347,0.000100,21.30026,60.84
11,107.84152,0.000100,20.88920,60.11
12,103.53317,0.000100,20.66093,60.09
13,99.65187,0.000100,20.22769,59.29
14,95.91664,0.000100,19.80451,57.97
15,92.36788,0.000100,19.48330,56.93
16,89.25687,0.000100,19.43269,58.29
17,85.95857,0.000100,19.13055,56.73
18,83.19694,0.000100,18.80776,55.59
19,80.47853,0.000100,18.66487,55.16
20,77.97686,0.000100,18.56420,54.44
21,75.72010,0.000100,18.39785,54.93
22,73.49348,0.000100,18.59338,54.94
23,71.49619,0.000100,18.59302,54.31
24,69.72454,0.000100,18.35179,53.93
25,67.39737,0.000100,18.32884,53.18
26,66.00430,0.000100,18.21274,53.15
27,64.31566,0.000100,18.20334,52.93
28,62.72038,0.000100,18.50275,53.38
29,61.16482,0.000100,18.75940,53.80
30,59.92010,0.000100,18.61457,53.57
31,58.56470,0.000100,18.26119,52.23
32,57.18585,0.000100,18.44838,53.01
33,56.17020,0.000100,18.51227,52.36
34,55.12333,0.000100,18.58750,52.05
35,47.98560,0.000020,18.53272,51.50
